26,0.0104,0.2259,0.6514,0.0579,0.0073,0.2604,0.0001,0.0723,0.1435,0.0002,0.2078,0.7705,0.1079,1.7791,5.8063,1.0584,8.771,
27,0.0107,0.2251,0.6379,0.0589,0.0039,0.2912,0.0001,0.0652,0.1397,0.0003,0.2015,0.7778,0.1274,1.7905,6.3853,1.1123,9.4104,
28,0.0105,0.214,0.6473,0.0586,0.0021,0.2895,0.0001,0.0702,0.1554,0.0003,0.2202,0.8133,0.1367,1.8354,7.0669,0.9585,9.9882,
29,0.0103,0.2124,0.6262,0.0553,0.004,0.2785,0.0001,0.0595,0.1459,0.0002,0.1935,0.7492,0.1165,1.723,6.6482,0.9245,9.4276,
30,0.0107,0.2177,0.6422,0.052,0.0019,0.2988,0.0001,0.0598,0.1495,0.0003,0.2116,0.7908,0.1789,1.8509,6.3024,0.9058,9.1833,
31,0.0102,0.2128,0.7088,0.0577,0.0018,0.2625,0.0001,0.0704,0.1389,0.0002,0.2043,0.7489,0.1186,1.8124,5.9031,0.9073,8.7481,
32,0.0106,0.251,0.6274,0.055,0.0016,0.318,0.0001,0.0619,0.1319,0.0003,0.1881,0.7678,0.1212,1.7926,7.1583,1.049,10.1202,
33,0.0108,0.2348,0.6187,0.0568,0.0037,0.2984,0,0.0628,0.163,0.0003,0.2286,0.8319,0.1274,1.8356,7.2608,0.9226,10.1383,
34,0.0106,0.2151,0.6438,0.0565,0.0045,0.3067,0.0001,0.0589,0.1438,0.0002,0.2075,0.7956,0.122,1.7989,7.252,1.0762,10.2508,
35,0.0108,0.2177,0.6407,0.0567,0.0017,0.2922,0.0001,0.0608,0.153,0.0003,0.2209,0.8055,0.116,1.801,6.8588,0.9531,9.7433,
36,0.0104,0.2167,0.6212,0.0577,0.0017,0.2855,0.0001,0.0721,0.1445,0.0003,0.2143,0.7925,0.1176,1.7686,7.6718,1.0994,10.6667,
37,0.0112,0.2089,0.5919,0.0564,0.0025,0.2603,0,0.06,0.147,0.0003,0.2098,0.7521,0.119,1.6931,6.9456,1.0772,9.842,
38,0.0112,0.2247,0.6417,0.0549,0.0038,0.2974,0.0001,0.0566,0.1403,0.0003,0.2055,0.7748,0.1171,1.7799,7.2569,1.1031,10.258,
39,0.01,0.3355,0.65,0.0582,0.0044,0.2926,0.0001,0.0758,0.1415,0.0002,0.1998,0.7873,0.1259,1.92,7.3634,0.9946,10.3977,
40,0.0121,0.1857,0.6505,0.0623,0.002,0.3029,0.0001,0.0634,0.1322,0.0002,0.2095,0.791,0.1137,1.7656,8.2988,1.1592,11.3437,
41,0.0103,0.2341,0.6172,0.0663,0.0018,0.3069,0,0.0563,0.1469,0.0002,0.2065,0.7983,0.1275,1.799,8.0313,1.1219,11.0727,
42,0.0104,0.2145,0.6171,0.0528,0.0041,0.3189,0,0.0601,0.1426,0.0002,0.2032,0.8006,0.1174,1.7736,7.954,1.1207,10.9691,
43,0.0098,0.2659,0.7409,0.059,0.0054,0.3193,0.0001,0.0692,0.1365,0.0003,0.1983,0.8052,0.1099,1.9417,7.4488,1.1426,10.6481,
44,0.0099,0.2225,0.6227,0.0513,0.004,0.3024,0.0001,0.0685,0.1498,0.0002,0.2123,0.8072,0.1255,1.7958,7.7307,0.826,10.4709,
45,0.0109,0.2242,0.6372,0.0574,0.0049,0.3123,0.0001,0.0697,0.1464,0.0002,0.2118,0.8182,0.1138,1.8171,8.3017,1.1663,11.4013,
46,0.01,0.2052,0.6515,0.0577,0.0077,0.3028,0.0001,0.0611,0.1441,0.0002,0.198,0.7887,0.1279,1.7949,8.4077,1.0568,11.3799,
47,0.01,0.2237,0.5984,0.0569,0.0055,0.2927,0.0001,0.0604,0.1449,0.0002,0.2083,0.7855,0.122,1.7519,8.7689,0.9827,11.6253,
